Province,City,Coor_1,Coor_2,Type,Title,Description,
Beijing,Beijing,40.220659,116.231203,1,Beijing Building $2b AI Development Park in Western Suburbs,"The Zhongguancun Development Group (a state-owned enterprise funded by the Beijing municipal government) plans to spend 13.8bn yuan ($1.98bn) building the development park, with the aim of attracting 400 AI companies that have annual output of 50b yuan ($7.18bn). The park will be established in the western Mentougou district and will reportedly offer 5G networks and a supercomputing center, as well as playing host to a “national-level” AI lab.",
Jilin,Changchun,43.8171,125.3235,4,Jilin University Creates New AI Department,"The new department will focus on foundational theoretical research, partnerships with industry, and interdisciplinary research with other departments.",
Hunan,Changsha,28.2282,112.9388,1,Changsha Tech Park Offers Reduced Rent and Subsidies to AI Companies,"Changsha's Mount Yuelu National University Technology City has offered reduced rent for five years and 5mn to 10mn yuan in subsidies ($720,000 to $1.45mn) to AI companies that set up shop in the city. The subsidies will draw from Changsha's industry investment fund totaling 5bn yuan ($720mn).",
Sichuan,Chengdu,30.795205,103.902478,3,Chengdu's Pidu District Signs Cooperation Agreement with Face++,"Face++ to establish research center in Chengdu’s Pidu District to work with the local government to build a ""City Brain"" and ""AI Town.""",
Chongqing,Chongqing,29.4316,106.9123,3,Chongqing Acquires City Brain from Alibaba Cloud,"The Chongqing municipal government partnered with Alibaba Cloud to create an ""ET City Brain"" designed to optimize traffic flow, dispatching emergency responders, and other urban services. The City Brain project follows on a cooperation agreement signed by the municipal government, Alibaba Group, and Ant Financial.",
Liaoning,Dalian,38.914,121.6147,3,"Dalian Customs Acquires ""Intelligent Conference Rooms""","Dalian Customs spent 3.4mn yuan ($490,000) to procure equipment for three ""Intelligent Conference Rooms"" that can transcribe spoken conversations using speech recognition technology. The supplier will be Speedy Cloud, a Beijing-based cloud computing service provider.",
Guangdong,Guangzhou,23.1291,113.2644,1,MIIT Doles Out Subsidies for AI-Powered Upgrades for Manufacturers,"Provincial and city branches of MIIT are offering subsidies for local manufacturers to apply AI to upgrading manufacturing processes, such as using computer vision for quality control in wood furniture manufacturing.",
Guizhou,Guiyang,26.6477,106.6302,1,City District Provides Land and 100mn Yuan for AI Development,"Guiyang's Gaoxin District has set aside 100mn yuan ($14mn) for an AI industry development fund, and has allocated a parcel of commercial land about the size of a football field for an AI-focused development park specializing in chips, speech recognition, robotics, and other areas.",
Hainan,Haikou,20.0444,110.1983,3,Haikou Procures a City Brain from Alibaba Cloud,"The local bureau of MIIT in August 2018 signed a 483mn yuan ($70mn) contract with Alibaba Cloud for an ET City Brain that will route traffic, dispatch emergency services, and perform large scale cloud computing for the city.",
Zhejiang,Hangzhou,30.2741,120.1551,3,Hangzhou Launches Alibaba Cloud City Brain 2.0,"Building on two years of testing and operations, the Hangzhou city government in September 2018 announced an expanded ""ET City Brain 2.0"" covering 420 km2 and 1,300 traffic lights around the city. The system is designed to reduce traffic congestion and assist in the routing of emergency vehicles. According to Alibaba, the system has improved emergency responder times by 49% and has helped Hangzhou drop from 5th to 57th in China's most congested cities ranking.",
